"IMO Number...1","Name...2","Ship type","Total fuel consumption [m tonnes]","Total CO₂ emissions [m tonnes]","Total CH₄ emissions [m tonnes]","Total N₂O emissions [m tonnes]","Total CO₂eq emissions [m tonnes]","Time spent at sea [hours]","Fuel consumption per distance [kg / n mile]","CO₂ emissions per distance [kg CO₂ / n mile]","Fuel consumption per transport work (mass) [g / m tonnes · n miles]","CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles]","CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes]"
"9625475","DOGAN","Bulk carrier",918.84,2876.79,0.05,0.17,2921.9,1299,62.7,196.3,2.32,7.26,0,274,2436
"9625528","HYUNDAI PRESTIGE","Container ship",2288.34,7137.18,0.11,0.41,7249.54,907,160.28,499.91,5,15.58,271,246.62,6547.13
"9625803","GIFT","Bulk carrier",913.11,2855.71,0.05,0.16,2900.55,898.78,79.37,248.22,3.97,12.42,0,1093.97,1721.25
"9625815","KRONOS","Bulk carrier",823.27,2581.21,0.04,0.15,2621.63,865.85,85.58,268.33,9.17,28.76,0,870.06,1597.05
"9625827","PAN TOPAZ","Bulk carrier",1141.37,3568.8,0.06,0.21,3624.84,1157.37,94.81,296.46,1.6,5,0,169.6,3324.86
"9625841","PAN FLOWER","Bulk carrier",2634.68,8252.51,0.13,0.47,8381.88,2627.2,109.34,342.48,1.5,4.71,100.35,6101.57,1711.65
"9625944","MSC CARINA","Bulk carrier",2849.77,8921.87,0.14,0.51,9061.79,2486,114.36,358.05,2.05,6.43,0,3237.82,5519.67
"9625956","TWIN CASTOR","Oil tanker",1006.6,3147.18,0.05,0.18,3196.61,697.7,190.28,594.93,69.67,217.81,0,2739.02,85.75
"9626003","PAN AMBER","Bulk carrier",1541.31,4823.27,0.08,0.28,4898.95,1789.3,78.96,247.09,2.98,9.34,819.24,1396.21,2445.21
"9626015","PAN BONITA","Bulk carrier",793.31,2490.41,0.04,0.14,2529.36,769.3,103.55,325.08,3.9,12.25,494.03,1705.34,167.72
"9626041","GENOA EXPRESS","Container ship",8272.47,25842.8,0.41,1.49,26248.98,5111.05,123.76,386.62,4.63,14.45,6718.6,8528.79,9703.91
"9626053","BARCELONA EXPRESS","Container ship",8619.14,26946.99,0.43,1.55,27370.19,5946.78,126.14,394.37,5.54,17.31,6723.78,10286.24,8927
"9626247","NORDTIGER","Container ship",4597.99,14323.37,0.23,0.83,14549.14,3522.8,93.23,290.44,17.27,53.79,1594.01,6558.35,6106.09
"9626302","STRATEGIC TENACITY","Bulk carrier",1041,3260.1,0.05,0.19,3311.21,1412.47,75.64,236.89,3.6,11.27,666.26,894.93,1336.59
"9626314","RESOLUTE BAY","Bulk carrier",1522.69,4813.65,0.08,0.27,4888.41,1849.3,76.87,243,3.2,10.11,425.56,772.34,3297.46
"9626388","STRATEGIC SPIRIT","Bulk carrier",572.26,1800.96,0.03,0.1,1829.06,861.31,63.17,198.8,3.5,11.02,65.54,687.76,982
"9626558","KESTREL","Container ship",2616.31,8200.3,0.13,0.47,8328.76,2524.68,95.99,300.86,9.31,29.18,3198.31,2089.55,2357.12
"9626613","MOTHER M","Bulk carrier",1356.16,4264.57,0.07,0.24,4331.16,1585.33,83.01,261.05,3.34,10.51,46.84,1128.97,2912.87
"9626651","INDIAN HARMONY","Bulk carrier",1070.09,3343.32,0.05,0.19,3395.86,913.5,92.21,288.1,2.25,7.03,160.46,1317.58,1823.92
"9626663","INDIAN SOLIDARITY","Bulk carrier",533.52,1683.51,0.03,0.1,1709.71,480.2,99.65,314.44,8.12,25.62,322.74,994.01,277.12
"9626974","SEA VIRYA","Bulk carrier",467.3,1458.53,0.02,0.08,1481.48,447.5,86.7,270.6,2.94,9.17,0,1241.48,122.54
"9626986","MYRA BAY","Bulk carrier",1419.31,4439.41,0.07,0.26,4509.09,1570.3,89.68,280.5,2.34,7.3,202.09,642.04,3448
"9627899","TOCONAO","Container ship",1880.32,5869.94,0.09,0.34,5962.26,542.22,267.84,836.12,3.89,12.14,3579.65,577.8,1358.24
"9627904","TRAIGUEN","Container ship",15483.97,48244.83,0.77,2.79,49005.09,4090.9,256.1,797.96,3.14,9.79,0,16501.9,30826.67
"9628116","DREAM","Bulk carrier",2279.79,7158.19,0.11,0.41,7270.13,1972.46,101.75,319.49,1.9,5.97,0,1693.62,5248.9
"9628166","VALUE","Container ship",21008.76,65465.36,1.05,3.78,66496.89,5436.4,252.38,786.43,3.05,9.52,7666.57,26723.03,29714
"9628178","VALIANT","Container ship",21253.94,66355.54,1.06,3.83,67399.11,5056.98,249.41,778.67,4.93,15.4,4246.4,36752.65,24537.99
"9628180","VALENCE","Container ship",7710.67,24065.53,0.39,1.39,24444.12,2262,236.95,739.55,3.54,11.06,3870.36,8763.72,10837.78
"9628300","HILDA KNUTSEN","Oil tanker",9531.5,30557.99,0.48,1.72,31025.99,5685.52,332.24,1065.15,15.43,49.46,17139.92,6062.55,4447.68
"9628752","CHANG HANG HAN HAI","Bulk carrier",446.28,1392.43,0.02,0.08,1414.34,441.4,96.08,299.77,1.97,6.14,0,179.56,1192.62
"9628817","STELLAR TRADER","Bulk carrier",1485,4670.84,0.07,0.27,4743.76,2210.78,70.97,223.24,2.52,7.94,544.57,1450.71,2427.09
"9628946","UNION VOYAGER","Bulk carrier",2369.98,7440.66,0.12,0.43,7557.02,2257.61,92.5,290.42,2.05,6.44,0,2141.26,5073.89
"9629160","GREEN HOPE","Container ship",298.97,932.72,0.01,0.05,947.4,307.9,74.69,233.01,5.61,17.5,67.7,260.63,589.93
"9629380","CMA CGM TOKYO","Container ship",2414.7,7588.01,0.12,0.43,7706.57,1060.48,169.76,533.47,6.3,19.8,2289.68,1881.36,2853.53
"9629483","SOLIN","Bulk carrier",1164.66,3631.22,0.06,0.21,3688.4,1011.58,97.27,303.26,2.4,7.47,0,0,3631.22
"9629550","SEASALVIA","Chemical tanker",4529.13,14245.68,0.23,0.82,14468.05,4159.2,130.25,409.67,5.84,18.38,5881.41,3081.25,2616.9
"9629562","SEAPRIDE","Chemical tanker",4323.91,13621.47,0.22,0.78,13833.77,3957.61,128.94,406.18,5.46,17.19,7010.02,2014.07,2315.21
"9629574","SEAFRIEND","Chemical tanker",3314.9,10406.31,0.17,0.6,10569.06,4012.67,127.57,400.48,9.31,29.22,2030.91,2307.07,4368.9
"9629627","GREAT MIND","Bulk carrier",965.48,3012.26,0.05,0.17,3059.66,927.8,95.36,297.51,3.31,10.33,444.84,1286.26,1141.77
"9629653","GNG CONCORD 1","Bulk carrier",2973.76,9358.14,0.15,0.54,9504.16,2717.55,101.21,318.51,3.29,10.35,1006.51,3676.6,4318.3
"9629706","AMIRANTE","Chemical tanker",848.32,2669.38,0.04,0.15,2711.04,825.66,82.57,259.82,2.37,7.45,761.02,443.09,981.43
"9629823","VALSAMITIS","Bulk carrier",1128.71,3543.03,0.06,0.2,3598.45,1429.75,81.23,254.98,3.98,12.5,0,912.79,2506.81
"9629926","GRACE ROMAVICTOR","Oil tanker",521.25,1635.93,0.03,0.09,1661.53,633.58,106.65,334.71,8.21,25.76,0,425.86,1170.64
"9629938","VESTA","Oil tanker",2200.83,6920.39,0.11,0.4,7028.45,1911.52,99.76,313.68,3.98,12.52,1599.16,1650.58,3038.51
"9629940","SEA QUEST","Oil tanker",659.5,2057.47,0.03,0.12,2089.85,608.8,88.78,276.98,4.45,13.87,0,942.01,954.44
"9629964","MRC LIVA","Oil tanker",3826.86,11970.65,0.19,0.69,12158.55,3629.97,88.68,277.4,3.06,9.56,889.52,3279.71,6747.73
"9630030","TORILL KNUTSEN","Oil tanker",8430.7,27028.82,0.42,1.52,27442.77,4049.67,323.42,1036.87,13.61,43.63,17239.94,3380.41,3063.33
"9630365","SEASPAN GANGES","Container ship",2494.9,7801.19,0.12,0.45,7923.69,814.4,204.12,638.24,2.62,8.21,562.97,187.23,6873.69
"9630391","SEASPAN AMAZON","Container ship",17173.04,53661.1,0.86,3.09,54504.29,5171.72,232.96,727.93,2.68,8.38,2894.83,18011.26,31891.38
"9630418","YOKOHAMA EXPRESS","Container ship",14698.89,45861.87,0.73,2.65,46583.59,3457.8,279.64,872.52,3.11,9.7,932.3,23261.82,21271.51
"9630664","FIJI","Bulk carrier",1769.95,5542.13,0.09,0.32,5629.04,1777.5,103.31,323.48,1.4,4.38,0,331.37,5146.51
