"IMO Number...1","Name...2","Ship type","Total fuel consumption [m tonnes]","Total CO₂ emissions [m tonnes]","Total CH₄ emissions [m tonnes]","Total N₂O emissions [m tonnes]","Total CO₂eq emissions [m tonnes]","Time spent at sea [hours]","Fuel consumption per distance [kg / n mile]","CO₂ emissions per distance [kg CO₂ / n mile]","Fuel consumption per transport work (mass) [g / m tonnes · n miles]","CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles]","CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes]"
"1014606","SEA GOAT","Bulk carrier",928.97,2913.99,0.05,0.17,2959.6,1214.4,62.61,196.4,2.27,7.12,433.83,1140.01,1258.41
"1014618","BIRD OF PARADISE","Bulk carrier",251.85,791.79,0.01,0.05,804.16,375.1,58.56,184.09,2.04,6.43,0,631.59,135.23
"1014838","WARRIOR","Bulk carrier",1195.54,3728.98,0.06,0.22,3787.68,2024.1,56.27,175.51,2.2,6.85,591.49,777.66,2204.49
"1014840","ALLEGRA","Bulk carrier",656.85,2070.05,0.03,0.12,2102.3,889.2,67.78,213.62,2.93,9.24,621.53,1228.56,88.81
"1014979","LOLITA","Bulk carrier",895.54,2810.63,0.04,0.16,2854.61,1509.7,56.81,178.31,2.18,6.86,412.3,0,2367.72
"1015155","SPAR MAIA","Bulk carrier",1279.95,3995.76,0.06,0.23,4058.61,1613.2,68.2,212.89,1.65,5.16,248.12,875.06,2769
"1023736","C.S. COSMOS","Bulk carrier",360.38,1135.69,0.02,0.06,1153.38,626.08,49.65,156.46,3.62,11.42,0,0,1135.69
"7043843","TALOS","Ro-ro ship",1161.82,3677.71,0.06,0.21,3734.76,1421.6,66.09,209.22,177.88,563.07,3290.58,0,0
"7226952","FJARDVAGEN","Ro-ro ship",1304.5,4182.23,0.07,0.23,4246.28,2563.8,39.87,127.82,81.98,262.84,3206,0,0
"7422881","YEOMAN BANK","Bulk carrier",4131.12,13191.98,0.21,0.74,13394.82,4653.7,89.45,285.65,5.82,18.57,3409.46,4292.65,4291.92
"7432733","AGIOS GEORGIOS","Ro-ro ship",1799.71,5729.31,0.09,0.32,5817.67,1181.16,112.33,357.61,178.79,569.18,5233.5,0,0
"7724265","IOSIF K","Ro-ro ship",1916.1,6143.02,0.1,0.34,6237.1,2159.1,69.74,223.59,118.17,378.86,5827.45,0,0
"7926148","ALGOMA VALUE","Bulk carrier",768.57,2411.3,0.04,0.14,2449.04,763.65,114.71,359.9,2.96,9.29,0,1425.4,947.84
"8000836","KUBROSLI Y","General cargo ship",382,1224.69,0.02,0.07,1243.45,156.17,38.68,124.01,5.95,19.09,22.44,502.7,578.36
"8001024","CSL ELBE","Bulk carrier",1481.73,4750.41,0.07,0.27,4823.16,2847,51.43,164.89,11.59,37.17,4098.83,0,0
"8009076","GULF LIVESTOCK 2","Other ship types",971.68,3063.81,0.05,0.17,3111.52,1265.6,83.46,263.17,104.94,330.88,0,1089.44,1867
"8009545","SIRIOS CEMENT I","Bulk carrier",1114.68,3519.98,0.06,0.2,3574.71,3057,43.38,137,7.03,22.2,397,1314,1556
"8020599","AKRITAS","Ro-ro ship",7024.72,21974.24,0.35,1.26,22319.15,5196.68,105.31,329.41,54.99,172.01,14873.15,2587.69,2940.08
"8025381","SEA MAJESTY","Bulk carrier",203.45,644.12,0.01,0.04,654.11,499.2,44.14,139.74,5.54,17.55,0,213.3,418.31
"8027573","ZEKO Y","General cargo ship",426.9,1368.64,0.02,0.08,1389.6,141.25,40.19,128.86,10.43,33.45,9.62,596,635.11
"8107000","MOHAMAD Y","General cargo ship",164.5,527.39,0.01,0.03,535.46,124,33.53,107.5,4,12.82,14.43,40.08,434.73
"8110681","BONTRUP AMSTERDAM","Bulk carrier",4874.87,15332.04,0.24,0.88,15571.4,4618.19,107.49,338.07,4.34,13.65,9014.62,2793.47,2450.43
"8125454","ARAL","Chemical tanker",1640.89,5132.86,0.08,0.3,5213.43,3746.7,40.29,126.03,10.75,33.61,1402.53,1407.07,2173.3
"8130875","MIGHTY SERVANT 1","Other ship types",4676.5,14992.86,0.23,0.84,15222.48,2498.44,201.86,647.15,65.5,210,250.71,6832.95,7571.29
"8130899","MIGHTY SERVANT 3","Other ship types",1947.3,6243.04,0.1,0.35,6338.66,1024.58,171.63,550.24,22.88,73.37,0,6243.04,0
"8200577","EXPRESS M","Other ship types",1790.64,5664.58,0.09,0.32,5752.51,4907.83,45.4,143.63,122.02,386.01,1.28,3068.53,2338.9
"8202018","IRON DESTINY","Bulk carrier",143.9,452.41,0.01,0.03,459.47,76.42,220.47,693.13,5.16,16.24,0,244.01,88.66
"8204250","NABOLSI","Other ship types",1383.5,4324.83,0.07,0.25,4392.75,1548,63.13,197.35,72.66,227.15,0,3379.74,806.13
"8214889","HAJE HALIMEH","General cargo ship",403.69,1277.42,0.02,0.07,1297.24,1392.9,37.6,118.97,6.25,19.79,0,547.68,674.43
"8401145","LYKTOS","Ro-ro ship",54.7,175.37,0,0.01,178.06,84,55.82,178.95,50.23,161.04,0,92,77
"8408650","SPRING","General cargo ship",161.4,511.23,0.01,0.03,519.16,467.42,43.05,136.37,9.45,29.93,0,248.04,239.79
"8414726","ZHEN HUA 24","Other ship types",423.76,1323.35,0.02,0.08,1344.16,362.18,117.74,367.7,15.69,49.01,0,0,1323.35
"8414738","ZHEN HUA 23","Other ship types",611.89,1916.92,0.03,0.11,1946.96,537.3,116.44,364.78,193.74,606.95,0,1916.92,0
"8415794","SEA PATRIS","Vehicle carrier",5591.76,17492.77,0.28,1.01,17767.32,6515.44,72.14,225.68,36.97,115.66,11028.27,3030.46,2992.04
"8417118","SAFFET BEY","Ro-ro ship",2587.15,8103.17,0.13,0.47,8230.2,4075.2,64.48,201.95,84.21,263.74,199.57,3915.13,3884.27
"8418265","BR BROTHER","General cargo ship",464.44,1468.88,0.02,0.08,1491.69,479.19,35.9,113.53,7.91,25.02,347.41,249.62,781.88
"8500630","ATLANTIC LADY","Refrigerated cargo carrier",566.9,1809.52,0.03,0.1,1837.36,761.47,91.84,293.14,69.38,221.45,0,1131.94,495.48
"8501464","ULUSOY-5","Ro-ro ship",1887.89,5911.99,0.09,0.34,6004.69,3534.21,65.76,205.93,99.37,311.19,1156.27,2028.91,2593.75
"8509557","NOVIY SVET","Refrigerated cargo carrier",261.9,834.87,0.01,0.05,847.73,358.83,79.65,253.9,36.77,117.21,0,390.91,290.72
"8512279","TRANSSHELF","Other ship types",5727.89,18363.62,0.29,1.03,18644.85,3077.38,160.47,514.48,15.4,49.36,0,8404.68,9575.43
"8512619","AFRICAN A","General cargo ship",39,123.38,0,0.01,125.3,154.33,30.76,97.31,13.24,41.9,0,41.56,77.66
"8519710","SILVER SUN","Vehicle carrier",3984.1,12523.46,0.2,0.72,12719.08,4420,71.74,225.5,16.92,53.19,304.3,4839.9,7009.7
"8520836","DAYTONA-H","Bulk carrier",305.98,980.97,0.02,0.06,996,1414.32,37.45,120.07,4.31,13.82,18.27,319.48,581.06
"8606056","GMT ASTRO","Vehicle carrier",142.4,446.01,0.01,0.03,453,133.83,79.64,249.45,50.55,158.32,0,339.39,102.45
"8606109","HALIM M","General cargo ship",568.35,1797.4,0.03,0.1,1825.31,650.05,475.93,1505.11,8.65,27.34,73.78,871.3,743.84
"8611984","CENK CAR","Vehicle carrier",174.25,552.28,0.01,0.03,560.84,1259.35,23.54,74.61,140.12,444.13,0,129.84,413.78
"8617938","TARGET","Other ship types",3408.25,10926.85,0.17,0.61,11094.2,2137.5,143.76,460.88,65.98,211.52,0,5982.72,4614.95
"8700498","ZHEN HUA 29","Other ship types",2966.62,9255.69,0.15,0.53,9401.35,3120.5,100.43,313.34,26.06,81.31,437.4,3157.75,5569.49
"8703270","MOHSEN","General cargo ship",369.75,1171.39,0.02,0.07,1189.55,1440.77,43.79,138.74,10.84,34.35,29.97,582.74,355.27
"8710182","ZHEN HUA 27","Other ship types",2627.75,8204.24,0.13,0.47,8333.26,2101.58,117.31,366.24,14.79,46.18,198.77,2279.15,5607.38
"8714205","MSC SABRINA III","Container ship",1244.64,3906.72,0.06,0.22,3967.84,1412.1,118.52,372.02,5.39,16.91,0,2560.86,1211.18
"8715857","MSC SARISKA V","Container ship",6470.43,20253.85,0.32,1.16,20571.54,2546.93,178.96,560.18,7.64,23.92,5104.08,7095.24,7624.96
"8716100","POLARIS","Other ship types",1222.45,3919.16,0.06,0.22,3979.18,2944.69,41.94,134.46,27.85,89.29,2233.11,461.45,949.08
"8802090","BALTIC SUMMER","Refrigerated cargo carrier",981.85,3065.69,0.05,0.18,3113.9,800.49,80.17,250.33,28.72,89.66,114.43,1329.77,1503.83
"8804567","GREEN EGERSUND","Refrigerated cargo carrier",1357.45,4288.59,0.07,0.24,4355.24,2852,48.61,153.57,43.42,137.19,1011.17,1019.64,1867.94
"8805597","LINK SUN","Ro-ro ship",1038.07,3328.05,0.05,0.19,3379.02,3034.01,32.8,105.16,43.33,138.91,2453.18,110.71,624.28
"8805602","LINK STAR","Ro-ro ship",1286,4122.92,0.06,0.23,4186.06,3426.13,36.02,115.48,23.68,75.93,2536.07,609.59,567.46
"8807155","NEPTUNE AVRA","Vehicle carrier",3760.76,11766.82,0.19,0.68,11951.47,4605.1,64.55,201.97,57.35,179.44,2386.38,4925.49,3966.95
"8808604","SILVER DANIA","Refrigerated cargo carrier",1647.99,5283.46,0.08,0.3,5364.37,3655.04,39.9,127.91,39.05,125.19,1771.27,1496.97,1679.78
"8813154","VASSILIOS","Ro-ro ship",8135.53,25379.02,0.41,1.46,25778.47,5976.65,98.92,308.59,48.1,150.06,17316.29,3089.72,3657.98
"8819299","GREEN AUSTEVOLL","Refrigerated cargo carrier",477.12,1505.81,0.02,0.09,1529.24,1045.2,45.7,144.22,42.3,133.5,142.35,642.84,662.56
"8819926","DITLEV REEFER","Refrigerated cargo carrier",1170.47,3669.69,0.06,0.21,3727.17,827.2,103.41,324.22,16.33,51.2,1576.94,286.91,1638.34
"8820858","TRANSPORTER","Ro-ro ship",3369.76,10803.45,0.17,0.61,10968.91,5710.51,49.24,157.87,20.4,65.41,4735.23,1609.19,4099.13
"8820860","LINK GALAXY","Ro-ro ship",2605.99,8354.8,0.13,0.47,8482.76,4984.49,46.11,147.83,24.24,77.7,7867.71,0,0
"8901585","LYUDA","Bulk carrier",1411.72,4443.65,0.07,0.25,4512.96,3637.4,52.4,164.94,4.08,12.86,0,2131.84,1915.22
"8902929","MKK1","Bulk carrier",567.2,1797.1,0.03,0.1,1824.95,1171.05,72.81,230.68,11.1,35.18,214.22,670.99,829.18
"8902955","TRUSTEE","Other ship types",2387.5,7654.33,0.12,0.43,7771.55,1358.83,158.1,506.87,135.05,432.97,1403.59,3054.36,2999.21
"8902967","TRIUMPH","Other ship types",4167.62,13361.39,0.21,0.75,13566.03,2372.71,142.55,457.01,84.5,270.92,3705.82,6191.57,3154.3
"8907204","ARCTIC SPIRIT","Refrigerated cargo carrier",1039.4,3332.32,0.05,0.19,3383.35,2938.57,97.56,312.77,57.65,184.83,0,2235.54,900.89
"8907577","BR GLORY","Bulk carrier",170.5,534.08,0.01,0.03,542.46,332.4,45.98,144.02,4.17,13.08,0,210.72,264.61
"8908583","CSL TRIMNES","Bulk carrier",2798.45,8971.82,0.14,0.5,9109.23,4235.17,60.95,195.4,6.71,21.52,7529.66,0,0
"8909070","BALTIC SPRING","Refrigerated cargo carrier",1610,5030.65,0.08,0.29,5109.71,1295.34,76.27,238.33,17.35,54.22,94.82,1763.61,3090.15
"8911748","LINK NOVA","Ro-ro ship",2118.97,6786.66,0.11,0.38,6890.7,4801.83,44.18,141.51,28.75,92.1,5842.6,201.7,524.68
"8912132","GREEN HONDURAS","Refrigerated cargo carrier",2688.75,8436.44,0.13,0.48,8568.47,3100.1,70.59,221.48,16.88,52.97,1790.96,2155.66,4025.17
"8912144","GREEN GUATEMALA","Refrigerated cargo carrier",2032.41,6396.09,0.1,0.37,6495.88,3035.9,63.84,200.9,20.38,64.14,680.44,3369.96,2056.25
"8912156","GREEN CHILE","Refrigerated cargo carrier",175.9,557.79,0.01,0.03,566.43,360,80.95,256.69,36.97,117.24,0,338.82,128.24
"8912297","YEOMAN BONTRUP","Bulk carrier",6981.22,21827.13,0.35,1.26,22169.91,5010.14,136.11,425.56,3.5,10.94,9210.97,4804.2,4724.3
"8912302","YEOMAN BRIDGE","Bulk carrier",5115.08,16084.86,0.26,0.92,16336.01,3895.44,127.22,400.05,3.74,11.76,2778.77,5529.78,6130.34
"8913320","M/V MEGAN","General cargo ship",370.27,1164.75,0.02,0.07,1182.93,758.78,52.21,164.22,11.63,36.57,0,502.78,611.21
"8913411","MSC SANTHYA","Container ship",8094.56,25370.42,0.4,1.46,25767.86,4737,134.09,420.28,8.06,25.25,9049.76,7228.06,7155.28
"8913423","MSC SHANNON III","Container ship",9396.69,29397.14,0.47,1.69,29858.52,5983.5,123.16,385.3,6,18.76,10418.52,12004.62,5549.13
"8913447","MSC ATLANTIC III","Container ship",9952.29,31101.42,0.5,1.79,31590.08,4895.8,153.61,480.04,7.43,23.21,4046.3,10053.11,15870.93
"8916229","FRIO MARATHON","Refrigerated cargo carrier",406.04,1269.34,0.02,0.07,1289.27,640.62,51.8,161.94,10.41,32.55,6.09,138.59,961.05
"8917584","WELLINGTON STAR","Refrigerated cargo carrier",3510,10999.93,0.18,0.63,11172.27,2684.98,89.66,280.98,18.55,58.14,1123.04,2945.07,6596.49
"8917778","MSC ELOISE","Container ship",7711.42,24196.07,0.39,1.39,24574.7,3945.15,150.06,470.83,8.17,25.64,3492.26,7744.09,11199.1
"8918629","C.S. SOVEREIGN","Other ship types",58.9,188.83,0,0.01,191.73,38.5,147.99,474.46,409.26,1312.1,111.57,0,0
"8918734","LADY KHADIJA","General cargo ship",939.08,2945.56,0.05,0.17,2991.67,2257.82,45.07,141.37,9.64,30.22,215.52,1191.19,1238.45
"8918954","MSC NEDERLAND III","Container ship",7606.07,23954.91,0.38,1.37,24328.37,3739.3,149.15,469.74,6.96,21.92,4270.96,8070.45,10550.65
"8918966","MSC MANDY III","Container ship",9252.06,28930.96,0.46,1.67,29385.23,5211.76,135.32,423.14,6.13,19.17,12537.67,10703.15,4183.81
"8918978","MSC SUEZ","Container ship",7566.32,23684.45,0.38,1.36,24055.96,4103.4,146.52,458.64,6.14,19.22,5972.84,6963.34,9361.23
"8918980","MSC JORDAN III","Container ship",8472.15,26512.72,0.42,1.52,26928.7,4716.8,137.36,429.85,6.02,18.85,5349.68,8261.58,12083.88
"8919788","ANNABELLA","General cargo ship",523,1652.37,0.03,0.09,1678.05,1151.42,47.8,151.03,10.08,31.84,0,717.26,890.23
"8919879","AMINAH STAR","General cargo ship",534.37,1692.29,0.03,0.1,1718.53,1813.61,50.18,158.93,13.41,42.47,69.74,616.39,810.87
"8920141","FUJI BAY","Refrigerated cargo carrier",750.21,2361.85,0.04,0.14,2398.69,1319.98,74.66,235.05,15.85,49.9,135.93,1855.4,161.26
"8920995","GREEN CRYSTAL","Refrigerated cargo carrier",750.9,2357.06,0.04,0.14,2393.93,1465.5,43.61,136.9,52.09,163.51,297.02,743.82,1222.62
"8972259","LEONID ZAYAKIN","General cargo ship",189.38,607.15,0.01,0.03,616.45,731.07,34.74,111.39,31.81,101.97,0,405.01,178.7
"8972261","ALEKSANDR ANTONOV","General cargo ship",294.08,942.83,0.01,0.05,957.27,1272.54,32.86,105.35,11.21,35.95,0,434.75,496.16
"8986365","GRIGORY MALOV","General cargo ship",228.4,732.25,0.01,0.04,743.47,913.65,33.84,108.5,15.09,48.39,21.32,392.13,281.84
"8986389","YURIY POLTORATZKIY","General cargo ship",150.44,482.31,0.01,0.03,489.7,595.03,32.09,102.87,12.16,39,0,227.98,237.98
"9000742","MSC JENNY II","Container ship",3853.49,12053.24,0.19,0.69,12242.44,3933.97,114.34,357.66,5.88,18.38,5233.08,3198.76,2704.15
"9002647","MIMER","Ro-ro ship",623,1997.34,0.03,0.11,2027.93,1865.53,36.43,116.81,36.87,118.21,0,982.96,873.96
"9004231","MSC ESHA F","Container ship",1525.62,4804.26,0.08,0.27,4879.17,2966.9,67.39,212.21,9.89,31.15,1560.42,1359.99,1583.13
"9004413","W M F EXPRESS","Other ship types",436.48,1380.03,0.02,0.08,1401.46,498.25,64.31,203.33,110.13,348.2,0,661.74,563.86
"9007489","JORGEN REEFER","Refrigerated cargo carrier",471.2,1490.87,0.02,0.08,1514,410.6,78.31,247.76,13.08,41.38,0,1218.39,182.71
"9007867","AYA M","Ro-ro ship",3050.9,9519.17,0.15,0.55,9668.97,5772.05,48.6,151.63,92.69,289.21,1543.01,3846.15,3867.49
"9008732","BALTIC PEARL","Refrigerated cargo carrier",840.12,2624.24,0.04,0.15,2665.49,677.03,74.75,233.49,16.75,52.31,186.37,592.87,1777.85
"9010929","ZIRCONE","Oil tanker",1834.57,5714.87,0.09,0.33,5804.94,2348.06,62.63,195.1,15.01,46.76,5519.31,0,0
"9014444","PRINCE OF SEAS","Refrigerated cargo carrier",756.08,2385.59,0.04,0.14,2422.71,2164.58,60.9,192.14,35.79,112.91,0,769.89,1507.77
"9014755","BALTIC WINTER","Refrigerated cargo carrier",1685.06,5288.88,0.08,0.3,5371.62,1229.29,81.89,257.02,20.38,63.98,81.08,1796.45,3306.74
"9015187","HELLAS STREAM","Refrigerated cargo carrier",5015.25,15712.58,0.25,0.9,15958.82,3433.32,95.54,299.34,23.15,72.54,6659.82,4341.96,4176.13
"9015199","NEDERLAND STREAM","Refrigerated cargo carrier",3246.74,10185.99,0.16,0.58,10345.41,2298.42,101.57,318.64,17.48,54.83,1451.07,2465.8,5704.83
"9015204","BELUGA REEFER","Refrigerated cargo carrier",127.89,404.65,0.01,0.02,410.93,109.19,77.78,246.09,10.78,34.11,0,331.79,51.12
"9015577","ZEYNEP KIRAN","Bulk carrier",468.72,1476.98,0.02,0.08,1500,957,72.4,228.15,6.18,19.49,43.12,715.15,671.74
"9016674","BALTIC PERFORMER","Refrigerated cargo carrier",1461.17,4562.57,0.07,0.26,4634.32,1414.56,69.6,217.32,19.85,61.99,76.24,1255.18,3107.07
"9018658","SOL DO BRASIL","Refrigerated cargo carrier",1614.33,5072.87,0.08,0.29,5152.13,1449.2,83.6,262.69,9.12,28.66,867.33,1199.28,2800.42
"9019640","RUNAWAY BAY","Refrigerated cargo carrier",978.21,3075.92,0.05,0.18,3123.94,1212.62,64.63,203.22,19.28,60.62,131.45,1023.46,1688.55
"9019652","ACONCAGUA BAY","Refrigerated cargo carrier",747.63,2350.27,0.04,0.13,2386.97,966.22,60.06,188.79,11.85,37.26,0,2003.35,116.06
"9020340","MARTINE A","Container ship",268.07,846.65,0.01,0.05,859.81,338.01,86.87,274.36,18.53,58.53,459.36,190.8,144.96
"9020352","INGA A","Container ship",267.34,835.56,0.01,0.05,848.69,351.64,93.31,291.64,44.42,138.83,34.56,224.81,538.94
"9021332","YOUNG SHIN","Ro-ro ship",822.77,2570.35,0.04,0.15,2610.75,731.5,81.1,253.34,29.91,93.44,254.1,1584.77,637.43
"9030137","ITALIA STREAM","Refrigerated cargo carrier",2239.56,7010.03,0.11,0.4,7119.99,1718.63,100.22,313.69,22.14,69.31,4814,1127.31,616.1
"9030149","SWEDISH STREAM","Refrigerated cargo carrier",5982.63,18728.81,0.3,1.08,19022.56,4042.4,98.8,309.28,24.46,76.57,3197.66,7548.95,7326.06
"9034731","KAPIDAG","Chemical tanker",978.12,3135.85,0.05,0.18,3183.88,3162,47.34,151.77,10.06,32.27,703.43,1080.55,1186.83
"9034743","AYSENAZ","Chemical tanker",1263,4049.18,0.06,0.23,4111.19,3653.52,49.87,159.89,13,41.69,235.32,1602.36,1811.55
"9038323","AUTUMN STREAM","Refrigerated cargo carrier",2092.72,6587.55,0.1,0.38,6690.31,1752.27,82.27,258.96,23.65,74.44,352.04,4655.14,1242.44
"9038488","BALTIC PATRIOT","Refrigerated cargo carrier",1450.3,4519.73,0.07,0.26,4590.94,1087.42,76.78,239.28,24.39,76.01,99.51,1540.01,2805.83
"9038907","MSC ROBERTA V","Container ship",6659.92,20941.45,0.33,1.2,21268.45,3429.1,153.66,483.18,5.23,16.43,4996.89,6852.83,8349.25
"9038945","DUNEDIN STAR","Refrigerated cargo carrier",1659.44,5186.4,0.08,0.3,5267.88,1312.2,87.92,274.77,19.07,59.6,265.49,1088.27,3733.9
"9039250","MSC JOY","Container ship",4987.21,15869.27,0.25,0.9,16114.14,4690.1,100.73,320.54,6.78,21.59,12989.46,349.68,617.8
"9045168","WATER PHOENIX","Refrigerated cargo carrier",1019.47,3199.91,0.05,0.18,3249.97,1682.23,58.72,184.31,24.32,76.33,0,1578.81,1481.18
"9045792","GREEN BRAZIL","Refrigerated cargo carrier",2886.3,9057.1,0.14,0.52,9198.82,3749,62.49,196.1,19.1,59.94,332.46,2998.72,5321
"9045924","PACIFIC MERMAID","Refrigerated cargo carrier",1133.41,3576.5,0.06,0.2,3632.15,1319.12,74.07,233.74,34.48,108.8,205.18,2787.53,227.31
"9046368","FREESIA","Other ship types",374.57,1184.98,0.02,0.07,1203.38,877.13,42.91,135.74,85.82,271.51,0,870.9,252.53
"9046423","TONY STARK","General cargo ship",2530.07,7913.74,0.13,0.46,8037.97,2927.52,72.03,225.3,20.9,65.38,998.25,671.88,5839.59
"9046502","DOLE AMERICA","Refrigerated cargo carrier",6698.56,20959.28,0.33,1.21,21288.18,5490.58,76.92,240.67,22.11,69.19,0,9012,11522.87
"9046514","DOLE EUROPA","Refrigerated cargo carrier",6710.93,20997.82,0.34,1.21,21327.32,5381.48,78.62,245.98,23.78,74.41,0,9680.12,10925.12
"9046526","DOLE ASIA","Refrigerated cargo carrier",6840.33,21416.09,0.34,1.23,21751.95,5083.6,86.88,272.02,24.56,76.89,0,9513.89,11131.96
"9046538","DOLE AFRICA","Refrigerated cargo carrier",7099.64,22215.87,0.35,1.28,22564.46,5235.08,87.24,273,24.28,75.98,0,9393.51,12290.84
"9047245","LAGOON PHOENIX","Refrigerated cargo carrier",1188.65,3735.08,0.06,0.21,3793.44,2086.35,62.8,197.35,13.97,43.91,201.93,1098.04,2315.7
"9047764","BOW FAGUS","Chemical tanker",2280.1,7157.45,0.11,0.41,7269.4,2084.55,84.86,266.39,5.84,18.34,72.14,3572.16,2950.18
"9050814","MARION DUFRESNE","Other ship types",2438.6,7818.15,0.12,0.44,7937.89,3514.65,77.77,249.33,41.83,134.11,2340.38,2513.5,1859.48
"9051507","MSC KRITTIKA","Container ship",1714.82,5340.33,0.09,0.31,5424.53,1684,106.6,331.96,6.46,20.11,0,2611.86,2572.71
"9051791","COLD STREAM","Refrigerated cargo carrier",464.8,1456.12,0.02,0.08,1478.94,423.43,76.9,240.92,25.88,81.07,226.85,378.15,817.78
"9053505","HAE SHIN","Vehicle carrier",1531.14,4770.94,0.08,0.28,4846.12,1470.35,74.51,232.17,903.14,2814.13,0,4452.5,279.4
"9053658","REGAL BAY","Refrigerated cargo carrier",755.19,2374.67,0.04,0.14,2411.74,1266.55,55.9,175.79,112.41,353.48,179.67,1860.99,251.29
"9055709","FEGULUS","Refrigerated cargo carrier",1291.58,4050.24,0.06,0.23,4113.66,1737.95,72.22,226.47,27.53,86.33,77.84,1376.49,2353.35
"9057123","ORANGE WAVE","Refrigerated cargo carrier",4155.9,13030.18,0.21,0.75,13234.24,3808.85,74.71,234.26,14.8,46.42,0,5426.39,6226.49
"9060730","SKIPPER PLANET","Bulk carrier",256.14,803.19,0.01,0.05,815.77,391.16,61.27,192.12,7.14,22.38,0,356.28,357.72
"9064281","GRIT CEMENT II","Bulk carrier",132.75,417.85,0.01,0.02,424.37,501,36.83,115.94,15.02,47.27,0,230,128
"9064748","MED BEYKOZ","Container ship",3233.47,10147.41,0.16,0.58,10306.17,2902.45,112.55,353.21,6.13,19.22,5854,954.66,1303.5
"9064750","MSC ELEONORA III","Container ship",1642.54,5185.51,0.08,0.3,5266.15,2698.45,89.96,284,4.3,13.59,2082.64,1137.42,1287.51
"9064839","RAMI M","Other ship types",1755.82,5483.85,0.09,0.32,5570.06,2132.28,67.57,211.05,84.51,263.95,29.72,3756.43,1664.65
"9065405","SCHELDE HIGHWAY","Vehicle carrier",2332.32,7435.41,0.12,0.42,7549.92,5843.08,34.73,110.73,65.12,207.6,4749.62,1151.37,980.88
"9065417","WESER HIGHWAY","Vehicle carrier",2366.46,7586.87,0.12,0.43,7703.06,5669.22,34.68,111.19,60.16,192.87,4846.15,1269,983.24
"9070424","ZEINAB","Bulk carrier",777.95,2438.39,0.04,0.14,2476.59,901,82.4,258.28,5.3,16.62,0,745.73,1475.71
"9070474","SILVER  GLORY","Vehicle carrier",4610.1,14461.6,0.23,0.83,14687.96,4480,83.97,263.41,20.03,62.84,1278,4860.3,7869.1
"9073402","CALLISTO","Refrigerated cargo carrier",365.72,1145.52,0.02,0.07,1163.47,528.05,61.3,192.01,13.89,43.52,0,659.25,423.59
"9073701","SANG SHIN","Vehicle carrier",411.8,1293.41,0.02,0.07,1313.63,339.5,89.15,280.02,33.28,104.51,316.07,487.96,427.18
"9074042","MSC POLARIS","Container ship",5831.86,18233.48,0.29,1.05,18519.82,2190.1,192.42,601.59,6.91,21.6,4240.82,4545.57,9127.13
"9075709","HOEGH TRIDENT","Vehicle carrier",830,2604.42,0.04,0.15,2645.17,557.78,106.67,334.72,14.81,46.47,336.95,69.25,2086.97
"9075711","HOEGH TROOPER","Vehicle carrier",5421.91,16953.28,0.27,0.98,17219.5,4043.23,98.82,309,13.89,43.42,2333.85,1583.79,12602.22
"9076387","AL KARRAR","Bulk carrier",359.9,1126.36,0.02,0.06,1144.03,452.6,80.5,251.93,6.06,18.98,0,422.7,640.77
"9082609","HAROUN BEY","Bulk carrier",283.22,887.22,0.01,0.05,901.13,551.62,61.77,193.51,5.3,16.62,20.32,402.52,412.38
"9082623","MATIN BEY","Bulk carrier",441.21,1380.4,0.02,0.08,1402.07,636.79,57.02,178.38,8.6,26.9,0,954.41,390.08
"9083043","NANTO","Container ship",4114.97,12835.81,0.21,0.74,13037.86,4280.4,66.12,206.24,26.24,81.84,7816.37,2237.35,2186.13
"9083055","MONTE BRASIL","Container ship",3496.14,10911.84,0.17,0.63,11083.5,3940.22,63.08,196.88,17.33,54.07,10142.63,0,0
"9084217","PRINCESS MANISSA","Bulk carrier",114.9,362.74,0.01,0.02,368.38,143.67,89.86,283.69,6.1,19.26,0,102.53,247.71
"9084229","ROYAL O","Bulk carrier",475.3,1491.42,0.02,0.09,1514.76,970.72,59.33,186.16,5.91,18.55,0,700.97,784.04
"9084255","MR TRADER","Bulk carrier",92.8,290.58,0,0.02,295.14,161.33,60.46,189.3,6.06,18.96,0,85.91,177.42
"9084607","MSC NITA","Container ship",2779.87,8697.9,0.14,0.5,8834.4,3465.5,102.33,320.18,9.17,28.68,1364.58,2999.74,4067.85
"9085534","KOTKA","Container ship",2464.68,7685.5,0.12,0.44,7806.52,772.8,206.44,643.73,2.85,8.88,0,1906.03,5753.5
"9085546","KLEVEN","Container ship",3483.29,10858.72,0.17,0.63,11029.75,1463.3,187.52,584.56,2.69,8.4,841.96,3402.78,6473.32
"9085558","KARLSKRONA","Container ship",6033.39,18840.47,0.3,1.09,19136.71,1834,228.59,713.81,4.64,14.5,3730,6136.13,8525.14
"9085675","ALKADI BEY","Bulk carrier",926.82,2905.65,0.05,0.17,2951.15,1843.46,58.97,184.89,6.74,21.12,485.36,1120.77,1128.41
"9085895","REK R","Bulk carrier",386.35,1221.47,0.02,0.07,1240.44,948.83,48.65,153.8,4.19,13.25,126.84,563.75,493.69
