"IMO Number...1","Name...2","Ship type","PC1","PC2","PC3"
"1014606","SEA GOAT","Bulk carrier",-1.50450897771851,0.0605950473699091,0.059954738824218
"1014618","BIRD OF PARADISE","Bulk carrier",-2.0098183280288,0.0722709803861465,0.0608188627802267
"1014838","WARRIOR","Bulk carrier",-1.22319729998546,0.0505433288545946,0.0631834654452559
"1014840","ALLEGRA","Bulk carrier",-1.71433380588402,0.0577674185357369,0.0580813688400123
"1014979","LOLITA","Bulk carrier",-1.46697989185013,0.0580157582982231,0.0631584840068826
"1015155","SPAR MAIA","Bulk carrier",-1.24599913621916,0.0628649609965985,0.0617396406086711
"1023736","C.S. COSMOS","Bulk carrier",-1.90849380450392,0.0661005943251268,0.0540202217691048
"7043843","TALOS","Ro-ro ship",-1.39817237263448,-0.482396241056979,-0.799708411656456
"7226952","FJARDVAGEN","Ro-ro ship",-1.14171334001591,-0.2219394210822,-0.321023421758679
"7422881","YEOMAN BANK","Bulk carrier",0.758948719604864,-0.00905568567572876,0.0449760164197294
"7432733","AGIOS GEORGIOS","Ro-ro ship",-1.12203359126864,-0.502743802997586,-0.802851758363011
"7724265","IOSIF K","Ro-ro ship",-0.873807028316586,-0.347624928911002,-0.496513459385484
"7926148","ALGOMA VALUE","Bulk carrier",-1.6647567292593,0.0681441024681198,0.0535406140709283
"8000836","KUBROSLI Y","General cargo ship",-1.98293238790639,0.0649145872291569,0.0394602496589251
"8001024","CSL ELBE","Bulk carrier",-0.978557112211536,-0.0307328988768144,0.0355741000470848
"8009076","GULF LIVESTOCK 2","Other ship types",-1.47590852474214,-0.229367689915357,-0.452156615493408
"8009545","SIRIOS CEMENT I","Bulk carrier",-1.08529425926646,0.0238531506736633,0.0425681967559044
"8020599","AKRITAS","Ro-ro ship",2.22780666293334,-0.277552043665539,-0.158630356186414
"8025381","SEA MAJESTY","Bulk carrier",-2.01292057243243,0.0605747338227997,0.0446865101738377
"8027573","ZEKO Y","General cargo ship",-1.96058267951829,0.0526304344289043,0.0164432066873599
"8107000","MOHAMAD Y","General cargo ship",-2.10285961392182,0.06964509616284,0.0511513444916022
