"Variable","PC1","PC2","PC3"
"Z1",0.396997951846371,0.00127898214677056,-0.00477182963279257
"Z2",0.3971916326701,0.00112191145427784,-0.00465579182930838
"Z3",0.0472081978990234,0.000898999492608,0.000532037360904734
"Z4",0.396330578775315,0.00107476190677352,-0.00462628052562069
"Z5",0.397292187061339,0.00113385378457881,-0.00463810726862058
"Z6",0.281105863309406,-0.0213856805382284,0.00688693381161209
"Z7",0.0028373256131305,-0.611028121226555,0.353724124774909
"Z8",0.00283486176473526,-0.611028282474355,0.353724072570259
"Z9",-0.00646200612001981,-0.354038269023056,-0.612022127987151
"Z10",-0.00651232364949509,-0.35403946534318,-0.612019320692355
"Z11",0.181618303169607,-0.0411579797940047,0.0155567452425503
"Z12",0.359010043574964,0.0121159519488445,-0.0143400039575517
"Z13",0.355653805103099,0.0172559494300868,-0.0060883303639098
"Variance Explained",0.48427107224508,0.154161118516573,0.153712505190587
